Таблица,Вид объекта,Разделы ЦИМ,Класс IFC,Элемент,Код МССК,Раздел таблицы,№,Набор атрибутов,Набор атрибутов (как в источнике),Наименование параметра,Имя параметра IFC,Тип данных,Ед. изм.,Пример,Источник
А.1,Непроизводственного назначения,"Проектная ситуация, Благоустройство и озеленение",IfcSite,Участок застройки,,Материалы АГР,1,RusSet_AGR,RusSet_AGR,Кадастровый номер участка,RUS_LandID,Текстовый,,77:07:00000001-01,Приложение 1
А.1,Непроизводственного назначения,"Проектная ситуация, Благоустройство и озеленение",IfcSite,Участок застройки,,Материалы АГР,2,RusSet_AGR,,Площадь земельного участка,RUS_AreaSquare,Вещественный,м2,"10207,74",Приложение 1
А.2,Непроизводственного назначения,"Проектная ситуация, Покрытия, благоустройство и озеленение",IfcCivilElement,"Газон, твердые покрытия, детская площадка, площадка для отдыха взрослых",ПО ЗУ 17 20 01,Общие данные,1,RusSet_Common,RusSet_Common,Наименование,RUS_Name,Текстовый,-,Газон,Приложение 1
А.2,Непроизводственного назначения,"Проектная ситуация, Покрытия, благоустройство и озеленение",IfcCivilElement,"Газон, твердые покрытия, детская площадка, площадка для отдыха взрослых",ПО ЗУ 17 20 01,Количественные параметры,2,RusSet_Quantities,RusSet_Quantities,Площадь,RUS_Area,Вещественный,м2,4000,Приложение 1
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Сведения о проекте,1,RusSet_Project,RusSet_Project,Наименование проекта,RUS_ProjectName,Текстовый,-,Жилой дом,Приложение 2
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Сведения о проекте,2,RusSet_Project,,Адрес,RUS_BuildingAddress,Текстовый,-,"г. Москва, Проспект Мира",Приложение 2
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Материалы АГР,3,RusSet_AGR,RusSet_AGR,Функциональное назначение объекта,RUS_FNO,Текстовый,-,Жилое здание/Нежилое здание,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 30,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Объем подземной части здания,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Подземная часть здания,Приложение 2
